	Data file that is not idea for loading	
		
More wasted space		
		
	PayorID	Payor
	1	SELF PAY
	197	SELF PAY MEDICAID PENDING
	200	BCBS PPO TEXAS
	203	BCBS FEDERAL TEXAS
	210	BCBS PRIMARY OUT OF STATE
	230	COMMERCIAL AND INDEMNITY PLANS 1
	235	COMMERCIAL AND INDEMNITY 2
	300	BCBS HMO TEXAS
	303	AETNA HMO TEXAS
	306	CIGNA HMO TEXAS
	309	UNITED HEALTHCARE HMO TX
	347	HUMANA PREFERRED TX
	350	UNITED HEALTHCARE PPO TX
	351	AETNA PPO TEXAS
	352	CIGNA PPO TEXAS
	357	BEECH STREET TEXAS
	361	PHCS PPO TEXAS
	383	HUMANA CHOICE CARE TX
	394	UNITED HEALTHCARE OPTIONS PLUS TEXAS
	395	COVENTRY FIRST HEALTH TX
	400	SECURE HORIZONS TEXAS
	401	MEDICARE MANAGEDCARE TEXAS
	404	HEALTHSPRINGS PPO
	410	SECURE HORIZONS OTHER
	411	HEALTHSMART PREFERRED
	413	GEHA HEALTH PLANS
	450	MEDICAID MANAGEDCARE TX
	452	MOLINA HEALTHCARE OF TEXAS
	480	TRICARE
	482	TRICARE PRIME
	501	MEDICARE TEXAS
	511	MEDICARE TEXAS SECONDARY
	520	MEDICARE RAILROAD
	550	MEDICAID TEXAS
